COURSE,TYPE,YEAR,FEES,ENQUIRES,ADMITTED,VACANT
BCA,UG,2019,50000,150,55,5
BBM,UG,2019,45000,195,45,15
BSC,UG,2019,35000,150,52,8
BCOM,UG,2019,30000,145,59,1
BCA,UG,2020,52000,150,45,15
BSC,UG,2020,35000,150,52,8
BCOM,UG,2020,30000,145,59,1
BBM,UG,2020,48000,145,40,20
BCA,UG,2021,55000,200,55,5
BSC,UG,2021,35000,150,52,8
BCOM,UG,2021,30000,145,59,1
BBM,UG,2021,50000,180,45,15
BCA,UG,2022,58000,220,58,2
BSC,UG,2022,35000,150,52,8
BCOM,UG,2022,30000,145,59,1
BBM,UG,2022,60000,200,55,5
BCA,UG,2023,60000,250,56,4
BSC,UG,2023,35000,150,52,8
BCOM,UG,2023,30000,145,59,1
BBM,UG,2023,60000,200,60,0
BCA,UG,2024,50000,150,55,5
BBM,UG,2024,45000,195,45,15
BSC,UG,2024,35000,150,52,8
BCOM,UG,2024,30000,145,59,1
MCA,PG,2019,60000,200,50,10
MBA,PG,2019,65000,300,56,4
MCOM,PG,2019,34000,120,54,6
MSC,PG,2019,38000,130,53,7
MCA,PG,2020,62000,165,48,12
MCOM,PG,2020,34000,120,54,6
MSC,PG,2020,38000,130,53,7
MBA,PG,2020,68000,125,43,17
MCA,PG,2021,65000,220,50,10
MCOM,PG,2021,34000,120,54,6
MSC,PG,2021,38000,130,53,7
MBA,PG,2021,70000,250,48,12
MCA,PG,2022,68000,240,55,5
MCOM,PG,2022,34000,120,54,6
MSC,PG,2022,38000,130,53,7
MBA,PG,2022,72000,250,58,2
MCA,PG,2023,70000,240,58,2
MCOM,PG,2023,34000,120,54,6
MSC,PG,2023,38000,130,53,7
MBA,PG,2023,75000,220,57,3
MCA,PG,2024,60000,200,50,10
MBA,PG,2024,65000,300,56,4
MCOM,PG,2024,34000,120,54,6
MSC,PG,2024,38000,130,53,7
