COURSE,TYPE,YEAR,FEES,ENQUIRES,ADMITTED,VACANT
BCA,UG,2019,50000,150,55,5
BBM,UG,2019,45000,195,38,22
BSC,UG,2019,35000,150,52,8
BCOM,UG,2019,30000,145,35,25
BCA,UG,2020,52000,150,30,30
BSC,UG,2020,35000,150,35,25
BCOM,UG,2020,30000,145,40,20
BBM,UG,2020,48000,145,30,30
BCA,UG,2021,55000,200,55,5
BSC,UG,2021,35000,150,50,10
BCOM,UG,2021,30000,145,55,5
BBM,UG,2021,50000,180,40,20
BCA,UG,2022,58000,220,55,5
BSC,UG,2022,35000,150,45,15
BCOM,UG,2022,30000,145,59,1
BBM,UG,2022,60000,200,45,15
BCA,UG,2023,60000,250,48,12
BSC,UG,2023,35000,150,50,10
BCOM,UG,2023,30000,145,59,1
BBM,UG,2023,60000,200,40,20
BCA,UG,2024,50000,150,55,5
BBM,UG,2024,45000,195,30,30
BSC,UG,2024,35000,150,52,8
BCOM,UG,2024,30000,145,59,1
MCA,PG,2019,60000,200,40,20
MBA,PG,2019,65000,300,56,4
MCOM,PG,2019,34000,120,54,6
MSC,PG,2019,38000,130,53,7
MCA,PG,2020,62000,165,48,12
MCOM,PG,2020,34000,120,54,6
MSC,PG,2020,38000,130,53,7
MBA,PG,2020,68000,125,43,17
MCA,PG,2021,65000,220,50,10
MCOM,PG,2021,34000,120,50,10
MSC,PG,2021,38000,130,53,7
MBA,PG,2021,70000,250,48,12
MCA,PG,2022,68000,240,55,5
MCOM,PG,2022,34000,120,54,6
MSC,PG,2022,38000,130,53,7
MBA,PG,2022,72000,250,35,25
MCA,PG,2023,70000,240,58,2
MCOM,PG,2023,34000,120,54,6
MSC,PG,2023,38000,130,53,7
MBA,PG,2023,75000,220,50,10
MCA,PG,2024,60000,200,50,10
MBA,PG,2024,65000,300,56,4
MCOM,PG,2024,34000,120,54,6
MSC,PG,2024,38000,130,53,7
